
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1968"	"0.032"	"0.369"	"0"	"0"	"0.014"	"9.607"	"217.822"	"166.981"	"91.56"	"8.654"	"0.393"	"0"
"1969"	"0"	"0.033"	"0"	"0"	"0.014"	"98.43"	"287.627"	"36.81"	"10.603"	"0.254"	"5.185"	"0.721"
"1970"	"0"	"0.028"	"0"	"0"	"14.93"	"146.114"	"200.115"	"430.4"	"166.377"	"58.655"	"0.393"	"0"
"1971"	"0"	"0"	"0"	"0"	"0.569"	"163.226"	"342.227"	"156.545"	"128.916"	"0.589"	"0.393"	"0"
"1972"	"0"	"5.284"	"0"	"0"	"0.217"	"114.052"	"193.443"	"36.009"	"1.308"	"0.254"	"0.393"	"0"
"1973"	"0.263"	"0.07"	"0"	"0"	"1.966"	"97.544"	"288.957"	"85.35"	"94.599"	"3.408"	"0.393"	"0"
"1974"	"0"	"0"	"0"	"0.465"	"7.397"	"10.744"	"138.67"	"39.53"	"54.322"	"20.114"	"0.393"	"0.007"
"1975"	"0.006"	"0"	"0"	"0"	"0.443"	"98.789"	"112.083"	"125.889"	"73.075"	"53.333"	"0.393"	"0"
"1976"	"0.038"	"0"	"0.051"	"0"	"0.014"	"50.786"	"134.262"	"68.743"	"41.077"	"0.915"	"37.76"	"0"
"1977"	"0.165"	"0"	"0"	"2.037"	"4.665"	"122.117"	"333.517"	"67.151"	"199.068"	"0.625"	"7.368"	"0"
"1978"	"0"	"0.021"	"0"	"8.704"	"0.014"	"435.453"	"122.133"	"180.857"	"13.26"	"18.963"	"16.573"	"0.381"
"1979"	"0"	"2.74"	"0"	"0.118"	"0.022"	"267.9"	"45.669"	"436.748"	"55.593"	"11.681"	"226.017"	"0"
"1980"	"0.129"	"0.58"	"0"	"1.732"	"0.014"	"488.958"	"435.958"	"149.806"	"21.903"	"0.571"	"2.262"	"2.569"
"1981"	"0.313"	"0"	"0.655"	"0.107"	"0.014"	"78.366"	"406.864"	"190.601"	"104.055"	"67.493"	"66.165"	"0"
"1982"	"0.164"	"0"	"0"	"0"	"16.616"	"5.299"	"256.606"	"141.31"	"35.532"	"0.921"	"142.999"	"0"
"1983"	"0"	"1.098"	"0"	"4.076"	"0.014"	"555.847"	"306.466"	"267.435"	"128.526"	"28.005"	"0.393"	"0"
"1984"	"0"	"0"	"0"	"0"	"0.014"	"58.76"	"147.913"	"120.786"	"123.538"	"0.57"	"0.393"	"0"
"1985"	"0"	"0"	"0"	"0.421"	"6.348"	"8.89"	"115.572"	"131.695"	"17.503"	"73.691"	"5.866"	"0"
"1986"	"0"	"0.072"	"0.608"	"0"	"1.627"	"525.765"	"27.842"	"77.993"	"12.657"	"0.254"	"0.4"	"0.316"
"1987"	"0.11"	"1.806"	"0"	"0"	"0.901"	"31.524"	"36.457"	"106.597"	"1.673"	"1.75"	"0.626"	"3.096"
"1988"	"0"	"0"	"0"	"4.732"	"0.025"	"38.874"	"449.666"	"97.699"	"172.886"	"0.9"	"0.393"	"0"
"1989"	"1.101"	"0"	"0.081"	"0.02"	"0.094"	"179.156"	"312.745"	"113.428"	"33.288"	"0.362"	"0.393"	"0"
"1990"	"0"	"4.958"	"0"	"0"	"36.944"	"87.435"	"87.491"	"470.224"	"55.168"	"12.578"	"2.179"	"3.514"
"1991"	"0"	"0.11"	"0.008"	"0.03"	"0.014"	"31.232"	"328.181"	"70.985"	"7.575"	"0.254"	"0.841"	"0.434"
"1992"	"0.166"	"0"	"0"	"0"	"0.014"	"39.021"	"302.113"	"155.261"	"251.783"	"17.256"	"3.513"	"0"
"1993"	"0"	"1.223"	"0.008"	"0"	"2.098"	"51.036"	"311.796"	"25.33"	"75.048"	"51.223"	"26.41"	"0"
"1994"	"1.591"	"0"	"2.123"	"0.011"	"0.141"	"120.752"	"286.413"	"151.021"	"270.369"	"1.3"	"0.7"	"0"
"1995"	"0.006"	"0"	"0.332"	"0.885"	"0.029"	"10.181"	"273.941"	"43.296"	"49.886"	"1.941"	"18.353"	"0.599"
"1996"	"0.258"	"0.096"	"0"	"0"	"0.977"	"257.975"	"518.876"	"89.934"	"36.456"	"48.232"	"0.442"	"0"
"1997"	"0.55"	"0"	"0.264"	"3.845"	"2.759"	"224.026"	"248.878"	"160.859"	"139.793"	"1.41"	"3.816"	"0.128"
"1998"	"0"	"4.691"	"0.705"	"0"	"0.029"	"234.177"	"463.732"	"248.525"	"71.194"	"157.868"	"2.743"	"0"
"1999"	"0"	"2.308"	"0"	"0"	"4.03"	"243.176"	"179.319"	"31.519"	"32.175"	"71.649"	"0.393"	"0"
"2000"	"0"	"0"	"0"	"0"	"16.822"	"55.892"	"376.289"	"103.858"	"3.447"	"10.65"	"1.006"	"0"
"2001"	"0"	"0"	"0"	"0"	"27.27"	"290.237"	"245.606"	"113.728"	"11.581"	"54.002"	"1.404"	"0"
"2002"	"0"	"0"	"0"	"0.059"	"0.032"	"183.362"	"37.717"	"203.937"	"17.723"	"0.284"	"0.393"	"0.244"
