
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1954"	"16.447"	"18.848"	"21.725"	"22.708"	"24.2"	"24.565"	"22.779"	"22.397"	"21.779"	"21.819"	"20.066"	"17.895"
"1955"	"17.629"	"18.796"	"21.416"	"22.117"	"24.156"	"24.276"	"23.592"	"21.939"	"22.225"	"22.424"	"19.635"	"18.38"
"1956"	"17.144"	"17.85"	"21.406"	"23.156"	"24.241"	"24.24"	"21.537"	"21.312"	"21.782"	"21.679"	"20.371"	"17.898"
"1957"	"16.899"	"16.784"	"19.264"	"22.249"	"23.378"	"24.528"	"23.193"	"22.272"	"22.261"	"22.801"	"22.11"	"19.028"
"1958"	"18.561"	"18.237"	"21.211"	"22.935"	"24.329"	"24.893"	"22.987"	"22.903"	"21.904"	"22.381"	"21.035"	"18.888"
"1959"	"16.971"	"18.1"	"21.517"	"23.749"	"24.917"	"24.457"	"22.19"	"21.915"	"21.845"	"22.251"	"20.596"	"18.9"
"1960"	"16.809"	"19.649"	"19.852"	"22.575"	"24.396"	"24.313"	"23.184"	"21.641"	"22.475"	"22.463"	"21.03"	"18.963"
"1961"	"17.637"	"17.512"	"21.596"	"22.507"	"23.953"	"23.82"	"22.154"	"22.375"	"21.989"	"22.084"	"20.959"	"18.093"
"1962"	"16.276"	"18.996"	"20.273"	"22.471"	"24.322"	"24.35"	"22.889"	"22.193"	"22.305"	"22.178"	"21.049"	"18.889"
"1963"	"18.119"	"19.947"	"21.122"	"22.641"	"23.872"	"24.568"	"22.986"	"22.187"	"21.982"	"22.938"	"21.546"	"19.135"
"1964"	"15.905"	"17.734"	"21.075"	"22.919"	"24.17"	"24.147"	"22.819"	"22.202"	"22.276"	"21.972"	"20.601"	"18.205"
"1965"	"18.539"	"18.856"	"20.706"	"22.393"	"23.419"	"24.559"	"22.724"	"22.532"	"22.528"	"23.022"	"21.423"	"19.224"
"1966"	"18.539"	"20.014"	"20.46"	"22.047"	"24.15"	"24.151"	"23.437"	"22.688"	"22.688"	"23.961"	"21.646"	"18.464"
"1967"	"16.592"	"19.433"	"20.915"	"22.684"	"24.163"	"23.789"	"22.689"	"22.204"	"22.463"	"23.084"	"21.179"	"18.912"
